Year,Program,Category,Expense,Revenue
2011,City Clerk's Office,Sundry and Other Revenues,,275700
2011,City Clerk's Office,Transfers from Capital Fund,,1592900
2011,City Clerk's Office,User Fees & Donations,,743700
2012,City Clerk's Office,Contribution From Reserves/Reserve Funds,,
2012,City Clerk's Office,Contribution From Reserves/Reserve Funds,,4587700
2012,City Clerk's Office,Contributions to Capital,,
2012,City Clerk's Office,Contribution To Reserves/Reserve Funds,449800,
2012,City Clerk's Office,Equipment,151200,
2012,City Clerk's Office,Federal Subsidies,,5000
2012,City Clerk's Office,Inter-Divisional Charges,2377100,
2012,City Clerk's Office,Inter-Divisional Recoveries,,11757700
2012,City Clerk's Office,Materials & Supplies,1332200,
2012,City Clerk's Office,Other Expenditures,44500,
2012,City Clerk's Office,Other Subsidies,,
2012,City Clerk's Office,Provincial Subsidies,,
2012,City Clerk's Office,Salaries And Benefits,35569000,
2012,City Clerk's Office,Service And Rent,7652600,
2012,City Clerk's Office,Sundry and Other Revenues,,387700
2012,City Clerk's Office,Transfers from Capital Fund,,1210000
2012,City Clerk's Office,User Fees & Donations,,847400
2013,City Clerk's Office,Salaries And Benefits,36843896.37,
2013,City Clerk's Office,Materials & Supplies,1288623.54,
2013,City Clerk's Office,Equipment,135837.32,
2013,City Clerk's Office,Service And Rent,7048136.99,
2013,City Clerk's Office,Contribution To Reserves/Reserve Funds,451947.32,
2013,City Clerk's Office,Other Expenditures,50917.04,
2013,City Clerk's Office,Inter-Divisional Charges,1869853.93,
2013,City Clerk's Office,Inter-Divisional Recoveries,,9358163.49
2013,City Clerk's Office,User Fees & Donations,,625294.86
2013,City Clerk's Office,Transfers from Capital Fund,,988750
2013,City Clerk's Office,Contribution From Reserves/Reserve Funds,,4397114.55
2013,City Clerk's Office,Sundry and Other Revenues,,850775.92
2014,City Clerk's Office,Contribution To Reserves/Reserve Funds,448899.32,
2014,City Clerk's Office,Equipment,561685.27,
2014,City Clerk's Office,Inter-Divisional Charges,2297218.93,
2014,City Clerk's Office,Materials & Supplies,1821760.14,
2014,City Clerk's Office,Other Expenditures,40917.04,
2014,City Clerk's Office,Salaries And Benefits,44062665.56,
2014,City Clerk's Office,Service And Rent,11241986.88,
2014,City Clerk's Office,Contribution From Reserves/Reserve Funds,,15580191.67
2014,City Clerk's Office,Inter-Divisional Recoveries,,9846652.02
2014,City Clerk's Office,Sundry and Other Revenues,,910782.23
2014,City Clerk's Office,Transfers from Capital Fund,,1154000
2014,City Clerk's Office,User Fees & Donations,,572888.48
2010,City Council,Contribution From Reserves/Reserve Funds,,700000
2010,City Council,Contribution From Reserves/Reserve Funds,,
2010,City Council,Contributions to Capital,,
2010,City Council,Contribution To Reserves/Reserve Funds,294200,
2010,City Council,Equipment,17000,
2010,City Council,Federal Subsidies,,
2010,City Council,Inter-Divisional Charges,286800,
2010,City Council,Inter-Divisional Recoveries,,
2010,City Council,Materials & Supplies,1982200,
2010,City Council,Other Expenditures,,
2010,City Council,Other Subsidies,,
2010,City Council,Provincial Subsidies,,
2010,City Council,Salaries And Benefits,17317600,
2010,City Council,Service And Rent,440100,
2010,City Council,Sundry and Other Revenues,,
2010,City Council,Transfers from Capital Fund,,
2010,City Council,User Fees & Donations,,
2011,City Council,Contribution From Reserves/Reserve Funds,,0
2011,City Council,Contribution From Reserves/Reserve Funds,,
2011,City Council,Contributions to Capital,,
2011,City Council,Contribution To Reserves/Reserve Funds,294200,
2011,City Council,Equipment,17000,
2011,City Council,Federal Subsidies,,
2011,City Council,Inter-Divisional Charges,171300,
2011,City Council,Inter-Divisional Recoveries,,
2011,City Council,Materials & Supplies,1198100,
2011,City Council,Other Expenditures,,
2011,City Council,Other Subsidies,,
2011,City Council,Provincial Subsidies,,
2011,City Council,Salaries And Benefits,16811200,
2011,City Council,Service And Rent,392100,
2011,City Council,Sundry and Other Revenues,,
2011,City Council,Transfers from Capital Fund,,
2011,City Council,User Fees & Donations,,
2012,City Council,Contribution From Reserves/Reserve Funds,,
2012,City Council,Contribution From Reserves/Reserve Funds,,
2012,City Council,Contributions to Capital,,
2012,City Council,Contribution To Reserves/Reserve Funds,90500,
2012,City Council,Equipment,8000,
2012,City Council,Federal Subsidies,,
2012,City Council,Inter-Divisional Charges,171300,
2012,City Council,Inter-Divisional Recoveries,,
2012,City Council,Materials & Supplies,1173100,
2012,City Council,Other Expenditures, ,
2012,City Council,Other Subsidies,,
2012,City Council,Provincial Subsidies,,
2012,City Council,Salaries And Benefits,17401300,
2012,City Council,Service And Rent,301200,
2012,City Council,Sundry and Other Revenues,,
2012,City Council,Transfers from Capital Fund,,
2012,City Council,User Fees & Donations,,
2014,City Council,Contribution To Reserves/Reserve Funds,91629.8,
2014,City Council,Equipment,92000,
2014,City Council,Inter-Divisional Charges,244218.7,
2014,City Council,Materials & Supplies,1259606.8,
2014,City Council,Salaries And Benefits,20208462.2,
2014,City Council,Service And Rent,391500,
2014,City Council,Contribution From Reserves/Reserve Funds,,2330000
2010,City Manager's Office,Contribution From Reserves/Reserve Funds,,
2010,City Manager's Office,Contribution From Reserves/Reserve Funds,,
2010,City Manager's Office,Contributions to Capital,,
2010,City Manager's Office,Contribution To Reserves/Reserve Funds,74800,
2010,City Manager's Office,Equipment,130500,
2010,City Manager's Office,Federal Subsidies,,274700
2010,City Manager's Office,Inter-Divisional Charges,828300,
2010,City Manager's Office,Inter-Divisional Recoveries,,3489700
2010,City Manager's Office,Materials & Supplies,276100,
2010,City Manager's Office,Other Expenditures,,
2010,City Manager's Office,Other Subsidies,,
2010,City Manager's Office,Provincial Subsidies,,19700
2010,City Manager's Office,Salaries And Benefits,37386000,
2010,City Manager's Office,Service And Rent,4186800,
2010,City Manager's Office,Sundry and Other Revenues,,29300
2010,City Manager's Office,Transfers from Capital Fund,,1685800
2010,City Manager's Office,User Fees & Donations,,15900
2011,City Manager's Office,Contribution From Reserves/Reserve Funds,,
2011,City Manager's Office,Contribution From Reserves/Reserve Funds,,
2011,City Manager's Office,Contributions to Capital,,
2011,City Manager's Office,Contribution To Reserves/Reserve Funds,73400,
2011,City Manager's Office,Equipment,95000,
2011,City Manager's Office,Federal Subsidies,,274700
2011,City Manager's Office,Inter-Divisional Charges,541600,
2011,City Manager's Office,Inter-Divisional Recoveries,,3481900
2011,City Manager's Office,Materials & Supplies,228000,
2011,City Manager's Office,Other Expenditures,,
2011,City Manager's Office,Other Subsidies,,
2011,City Manager's Office,Provincial Subsidies,,19700
2011,City Manager's Office,Salaries And Benefits,37769100,
2011,City Manager's Office,Service And Rent,3765700,
2011,City Manager's Office,Sundry and Other Revenues,,29300
2011,City Manager's Office,Transfers from Capital Fund,,2456400
2011,City Manager's Office,User Fees & Donations,,15900
2012,City Manager's Office,Contribution From Reserves/Reserve Funds,,
2012,City Manager's Office,Contribution From Reserves/Reserve Funds,,
2012,City Manager's Office,Contributions to Capital,,
2012,City Manager's Office,Contribution To Reserves/Reserve Funds,76157,
2012,City Manager's Office,Equipment,76674,
2012,City Manager's Office,Federal Subsidies,,
2012,City Manager's Office,Inter-Divisional Charges,489197,
2012,City Manager's Office,Inter-Divisional Recoveries,,5117887
2012,City Manager's Office,Materials & Supplies,200235,
2012,City Manager's Office,Other Expenditures,,
2012,City Manager's Office,Other Subsidies,,
2012,City Manager's Office,Provincial Subsidies,,
2012,City Manager's Office,Salaries And Benefits,39660985,
2012,City Manager's Office,Service And Rent,3003854,
2012,City Manager's Office,Sundry and Other Revenues,,373600
2012,City Manager's Office,Transfers from Capital Fund,,2990433
2012,City Manager's Office,User Fees & Donations,,15900
2013,City Manager's Office,Salaries And Benefits,49044153.43,
2013,City Manager's Office,Materials & Supplies,202815.5,
2013,City Manager's Office,Equipment,77200.45,
2013,City Manager's Office,Service And Rent,2975312.16,
2013,City Manager's Office,Contribution To Reserves/Reserve Funds,83496.56,
2013,City Manager's Office,Inter-Divisional Charges,431914.56,
2013,City Manager's Office,Inter-Divisional Recoveries,,3719718.82
2013,City Manager's Office,Other Subsidies,,0
2013,City Manager's Office,User Fees & Donations,,15900
2013,City Manager's Office,Transfers from Capital Fund,,3980872.96
2013,City Manager's Office,Contribution From Reserves/Reserve Funds,,17850.37
2013,City Manager's Office,Sundry and Other Revenues,,270054.58
2014,City Manager's Office,Contribution To Reserves/Reserve Funds,91306.58,
2014,City Manager's Office,Equipment,144561.65,
2014,City Manager's Office,Inter-Divisional Charges,257551.71,
2014,City Manager's Office,Materials & Supplies,199002.99,
2014,City Manager's Office,Salaries And Benefits,51314726.65,
2014,City Manager's Office,Service And Rent,3394517.68,
2014,City Manager's Office,Contribution From Reserves/Reserve Funds,,698000
2014,City Manager's Office,Federal Subsidies,,17850.37
2014,City Manager's Office,Inter-Divisional Recoveries,,3707520.22
2014,City Manager's Office,Sundry and Other Revenues,,158633.08
2014,City Manager's Office,Transfers from Capital Fund,,4151872.85
2014,City Manager's Office,User Fees & Donations,,15900
2010,City Planning,Contribution From Reserves/Reserve Funds,,0
2010,City Planning,Contribution From Reserves/Reserve Funds,,443700
2010,City Planning,Contributions to Capital,0,
2010,City Planning,Contribution To Reserves/Reserve Funds,58700,
2010,City Planning,Equipment,190800,
2010,City Planning,Federal Subsidies,,
2010,City Planning,Inter-Divisional Charges,427600,
2010,City Planning,Inter-Divisional Recoveries,,
2010,City Planning,Materials & Supplies,218500,
2010,City Planning,Other Expenditures,0,
2010,City Planning,Other Subsidies,,
2010,City Planning,Provincial Subsidies,,
2010,City Planning,Salaries And Benefits,33549700,
2010,City Planning,Service And Rent,1923200,
2010,City Planning,Sundry and Other Revenues,,509800
2010,City Planning,Transfers from Capital Fund,,1890100
2010,City Planning,User Fees & Donations,,20301800
2011,City Planning,Contribution From Reserves/Reserve Funds,,0
2011,City Planning,Contribution From Reserves/Reserve Funds,,0
2011,City Planning,Contributions to Capital,0,
2011,City Planning,Contribution To Reserves/Reserve Funds,58700,
2011,City Planning,Equipment,162900,
2011,City Planning,Federal Subsidies,,
2011,City Planning,Inter-Divisional Charges,439000,
2011,City Planning,Inter-Divisional Recoveries,,
2011,City Planning,Materials & Supplies,186800,
2011,City Planning,Other Expenditures,83700,
2011,City Planning,Other Subsidies,,
2011,City Planning,Provincial Subsidies,,
2011,City Planning,Salaries And Benefits,33739900,
2011,City Planning,Service And Rent,1846100,
2011,City Planning,Sundry and Other Revenues,,2727900
2011,City Planning,Transfers from Capital Fund,,0
2011,City Planning,User Fees & Donations,,21295100
2012,City Planning,Contribution From Reserves/Reserve Funds,,
2012,City Planning,Contribution From Reserves/Reserve Funds,,150000
2012,City Planning,Contributions to Capital,,
2012,City Planning,Contribution To Reserves/Reserve Funds,63300,
2012,City Planning,Equipment,163944,
2012,City Planning,Federal Subsidies,,
2012,City Planning,Inter-Divisional Charges,583100,
2012,City Planning,Inter-Divisional Recoveries,,
2012,City Planning,Materials & Supplies,187331,
2012,City Planning,Other Expenditures,343700,
2012,City Planning,Other Subsidies,,
2012,City Planning,Provincial Subsidies,,
2012,City Planning,Salaries And Benefits,35741431,
2012,City Planning,Service And Rent,1595390,
2012,City Planning,Sundry and Other Revenues,,1013011
2012,City Planning,Transfers from Capital Fund,,2544487
2012,City Planning,User Fees & Donations,,21725350
2013,City Planning,Salaries And Benefits,36573284.88,
2013,City Planning,Materials & Supplies,187729,
2013,City Planning,Equipment,163544,
2013,City Planning,Service And Rent,2840953.54,
2013,City Planning,Contribution To Reserves/Reserve Funds,64116.85,
2013,City Planning,Other Expenditures,400700,
2013,City Planning,Inter-Divisional Charges,552925,
2013,City Planning,User Fees & Donations,,21500687.84
2013,City Planning,Transfers from Capital Fund,,2336911.48
2013,City Planning,Contribution From Reserves/Reserve Funds,,1237332
2013,City Planning,Sundry and Other Revenues,,1260946
2014,City Planning,Contribution To Reserves/Reserve Funds,64116.85,
2014,City Planning,Equipment,163543.98,
2014,City Planning,Inter-Divisional Charges,932666.31,
2014,City Planning,Materials & Supplies,187729.05,
2014,City Planning,Other Expenditures,400700,
2014,City Planning,Salaries And Benefits,37314373.91,
2014,City Planning,Service And Rent,2544237.52,
2014,City Planning,Contribution From Reserves/Reserve Funds,,924032
2014,City Planning,Sundry and Other Revenues,,898350.06
2014,City Planning,Transfers from Capital Fund,,2278563.07
2014,City Planning,User Fees & Donations,,21898094.32
2013,City Council,Salaries And Benefits,18101495.2,
2013,City Council,Materials & Supplies,1199509.8,
2013,City Council,Equipment,37000,
2013,City Council,Service And Rent,376500,
2013,City Council,Contribution To Reserves/Reserve Funds,91629.8,
